,open,high,low,close,adj close,volume
2019-01-02,154.89,158.85,154.23,157.92,37.992148539787,37039737.0
2019-01-03,143.98,145.72,142.0,142.19,34.2078495495968,91312195.0
2019-01-04,144.53,148.55,143.8,148.26,35.6681607301724,58607070.0
2019-01-07,148.7,148.83,145.9,147.93,35.5887698422663,54777764.0
2019-01-08,149.56,151.82,148.52,150.75,36.2672010661911,41025314.0
2019-01-09,151.29,154.53,149.63,153.31,36.8830818935838,45099081.0
2019-01-10,152.5,153.97,150.86,153.8,37.0009653332019,35780670.0
2019-01-11,152.88,153.7,151.51,152.29,36.6376918764195,27023241.0
2019-01-14,150.85,151.27,149.22,150.0,36.0867672300409,32439186.0
2019-01-15,150.27,153.39,150.05,153.07,36.8253430660157,28710324.0
2019-01-16,153.08,155.88,153.0,154.94,37.2752247641502,30569706.0
2019-01-17,154.2,157.66,153.26,155.86,37.4965569364945,29821160.0
2019-01-18,157.5,157.88,155.98,156.82,37.7275122467667,33751023.0
2019-01-22,156.41,156.73,152.62,153.3,36.8806761091018,30393970.0
2019-01-23,154.15,155.14,151.7,153.92,37.0298347469859,23130570.0
2019-01-24,154.11,154.48,151.74,152.7,36.7363290401816,25441549.0
2019-01-25,155.48,158.13,154.32,157.76,37.953655988075,33547893.0
2019-01-28,155.79,156.33,153.66,156.3,37.6024114537026,26192058.0
2019-01-29,156.25,158.13,154.11,154.68,37.2126743676182,41587239.0
2019-01-30,163.25,166.15,160.23,165.25,39.755588565095,61109780.0
2019-01-31,166.11,169.0,164.56,166.44,40.0418769184534,40739649.0
2019-02-01,166.96,168.98,165.93,166.52,40.0611231943094,32668138.0
2019-02-04,167.41,171.66,167.28,171.25,41.1990592542967,31495582.0
2019-02-05,172.86,175.08,172.35,174.18,41.9039541075235,36101628.0
2019-02-06,174.65,175.57,172.85,174.24,41.9183888144155,28239591.0
2019-02-07,172.4,173.94,170.34,170.94,41.1244799353546,31741690.0
2019-02-08,168.99,170.66,168.42,170.41,41.1725956249946,23819966.0
2019-02-11,171.05,171.21,169.25,169.43,40.9358187708635,20993425.0
2019-02-12,170.1,171.0,169.7,170.89,41.2885679617119,22283523.0
2019-02-13,171.39,172.48,169.92,170.18,41.1170255469843,22490233.0
2019-02-14,169.71,171.26,169.38,170.8,41.2668231485775,21835747.0
2019-02-15,171.25,171.7,169.75,170.42,41.1750117153429,24626814.0
2019-02-19,169.71,171.44,169.49,170.93,41.2982323231051,18972826.0
2019-02-20,171.19,173.32,170.99,172.03,41.5640022614156,26114362.0
2019-02-21,171.8,172.37,170.3,171.06,41.3296414976327,17249670.0
2019-02-22,171.58,173.0,171.38,172.97,41.7911147541536,18913154.0
2019-02-25,174.16,175.87,173.95,174.23,42.0955421380366,21873358.0
2019-02-26,173.71,175.3,173.17,174.33,42.1197030415194,17070211.0
2019-02-27,173.21,175.0,172.73,174.87,42.2501719203263,27835389.0
2019-02-28,174.32,174.91,172.92,173.15,41.8346043804226,28215416.0
2019-03-01,174.28,175.15,172.89,174.97,42.2743328238091,25886167.0
2019-03-04,175.69,177.75,173.97,175.85,42.4869487744575,27436203.0
2019-03-05,175.94,176.0,174.54,175.53,42.4096338833127,19737419.0
2019-03-06,174.67,175.49,173.94,174.52,42.1656087581366,20810384.0
2019-03-07,173.87,174.44,172.02,172.5,41.6775585077846,24796374.0
2019-03-08,170.32,173.07,169.5,172.91,41.776618212064,23999358.0
2019-03-11,175.49,179.12,175.35,178.9,43.2238563306821,32011034.0
2019-03-12,180.0,182.67,179.37,180.91,43.7094904906859,32467584.0
2019-03-13,182.25,183.3,180.92,181.71,43.9027777185481,31032524.0
2019-03-14,183.9,184.1,182.56,183.73,44.3908279689001,23579508.0
2019-03-15,184.85,187.33,183.74,186.12,44.9682735621384,39042912.0
2019-03-18,185.8,188.39,185.79,188.02,45.4273307283111,26219832.0
2019-03-19,188.35,188.99,185.92,186.53,45.0673332664178,31646369.0
2019-03-20,186.23,189.49,184.73,188.16,45.461155993187,31035231.0
2019-03-21,190.02,196.33,189.81,195.09,47.1355066045432,51034237.0
2019-03-22,195.34,197.69,190.78,191.05,46.1594061038391,42407666.0
2019-03-25,191.51,191.98,186.6,188.74,45.6012892333871,43845293.0
2019-03-26,191.66,192.88,184.58,186.79,45.130151615473,49800538.0
2019-03-27,188.75,189.76,186.55,188.47,45.5360547939836,29848427.0
2019-03-28,188.95,189.56,187.53,188.72,45.5964570526905,20780363.0
2019-03-29,189.83,190.08,188.54,189.95,45.8936361655286,23563961.0
