,open,high,low,close,adj close,volume
2019-01-02,128.99,137.51,128.56,135.68,135.68,28146193.0
2019-01-03,134.69,137.17,131.12,131.74,131.74,22717948.0
2019-01-04,134.01,138.0,133.75,137.95,137.95,29002059.0
2019-01-07,137.56,138.87,135.91,138.05,138.05,20089337.0
2019-01-08,139.89,143.14,139.54,142.53,142.53,26263793.0
2019-01-09,142.95,144.7,141.27,144.23,144.23,22205879.0
2019-01-10,143.08,144.56,140.84,144.2,144.2,16125004.0
2019-01-11,143.15,145.36,142.57,143.8,143.8,12908031.0
2019-01-14,142.0,146.57,141.27,145.39,145.39,20520278.0
2019-01-15,146.01,150.68,145.99,148.95,148.95,24068822.0
2019-01-16,149.0,149.65,147.0,147.54,147.54,18025714.0
2019-01-17,146.95,149.0,146.5,148.3,148.3,15787914.0
2019-01-18,149.75,152.43,148.55,150.04,150.04,31029612.0
2019-01-22,149.2,151.53,146.37,147.57,147.57,22378694.0
2019-01-23,148.28,148.8,143.06,144.3,144.3,20098415.0
2019-01-24,144.64,146.44,142.52,145.83,145.83,20955518.0
2019-01-25,147.48,149.83,146.54,149.01,149.01,22250954.0
2019-01-28,148.05,148.96,146.21,147.47,147.47,15508483.0
2019-01-29,148.09,148.1,143.43,144.19,144.19,17631953.0
2019-01-30,146.22,150.95,145.7,150.42,150.42,44613240.0
2019-01-31,165.6,171.68,165.0,166.69,166.69,77233602.0
2019-02-01,165.84,169.1,165.66,165.71,165.71,30806513.0
2019-02-04,165.7,169.3,163.62,169.25,169.25,20036470.0
2019-02-05,169.15,171.98,168.69,171.16,171.16,22556985.0
2019-02-06,171.2,172.47,169.27,170.49,170.49,13281161.0
2019-02-07,168.2,169.24,165.25,166.38,166.38,17517609.0
2019-02-08,164.47,167.37,164.21,167.33,167.33,12561422.0
2019-02-11,167.9,168.3,165.08,165.79,165.79,12811176.0
2019-02-12,166.86,168.34,164.5,165.04,165.04,16292290.0
2019-02-13,165.38,166.22,163.73,164.07,164.07,14205146.0
2019-02-14,163.19,164.87,162.25,163.95,163.95,12755151.0
2019-02-15,164.51,164.7,160.86,162.5,162.5,15504415.0
2019-02-19,160.5,164.15,160.33,162.29,162.29,14345390.0
2019-02-20,162.25,163.72,161.25,162.56,162.56,11770692.0
2019-02-21,161.93,162.24,159.59,160.04,160.04,15607828.0
2019-02-22,160.58,162.41,160.31,161.89,161.89,15858468.0
2019-02-25,163.07,166.07,162.9,164.62,164.62,18737106.0
2019-02-26,164.34,166.24,163.8,164.13,164.13,13784063.0
2019-02-27,162.9,163.93,160.41,162.81,162.81,12697485.0
2019-02-28,162.37,163.5,160.86,161.45,161.45,11114185.0
2019-03-01,162.6,163.13,161.69,162.28,162.28,11097770.0
2019-03-04,163.9,167.5,163.83,167.37,167.37,18894689.0
2019-03-05,167.37,171.88,166.55,171.26,171.26,28187890.0
2019-03-06,172.9,173.57,171.27,172.51,172.51,21531723.0
2019-03-07,171.5,171.74,167.61,169.13,169.13,18306504.0
2019-03-08,166.2,169.62,165.97,169.6,169.6,13184831.0
2019-03-11,171.6,174.3,171.58,172.07,172.07,18883983.0
2019-03-12,172.09,173.8,171.22,171.92,171.92,12155264.0
2019-03-13,172.32,174.03,172.12,173.37,173.37,11973280.0
2019-03-14,169.76,171.15,168.16,170.17,170.17,18037364.0
2019-03-15,167.16,167.58,162.51,165.98,165.98,37126000.0
2019-03-18,163.57,163.9,159.28,160.47,160.47,37524191.0
2019-03-19,161.48,163.82,160.82,161.57,161.57,25611488.0
2019-03-20,161.5,166.12,161.24,165.44,165.44,20211474.0
2019-03-21,164.89,166.39,163.75,166.08,166.08,16223007.0
2019-03-22,165.65,167.42,164.09,164.34,164.34,16389185.0
2019-03-25,163.0,166.54,162.0,166.29,166.29,12631230.0
2019-03-26,167.35,169.45,166.35,167.68,167.68,15437920.0
2019-03-27,167.85,168.94,164.79,165.87,165.87,10620299.0
2019-03-28,164.57,166.72,163.33,165.55,165.55,10689171.0
2019-03-29,166.39,167.19,164.81,166.69,166.69,13455454.0
2019-04-01,167.83,168.9,167.28,168.7,168.7,10381490.0
2019-04-02,170.14,174.9,169.55,174.2,174.2,23946529.0
2019-04-03,174.5,177.96,172.95,173.54,173.54,27590058.0
